(t1:0.196219079,(((((t7:0.06663895026,t2:0.7316480987):0.09459540411,t5:0.7894584325):0.2270181915,t6:0.6648435646):0.7320983948,t3:0.3568848532):0.2339764086,t4:0.4712708404):0.8272770746);
((((t7:0.9568624122,t3:0.866613958):0.1854060821,(t6:0.2503470294,t1:0.9111929815):0.9654364714):0.1803766142,(t5:0.9579736146,t4:0.0850334377):0.1312555498):0.694155917,t2:0.640226485);
((t7:0.5001464786,(t6:0.08894380601,t1:0.7965544974):0.146317967):0.5242685881,((t5:0.6958925969,t2:0.2663738232):0.5044910836,(t4:0.1895300243,t3:0.222403412):0.541883033):0.390453029);
(((t2:0.04520375677,t1:0.6341600493):0.1433960106,(t3:0.1057886851,(t5:0.7708554917,t7:0.1273054569):0.03362189978):0.7899337874):0.2332588481,(t4:0.9313799967,t6:0.9783805122):0.5050045641);
(((t2:0.6585997324,t4:0.6988084903):0.01325208112,t1:0.6907627936):0.5055958678,((t3:0.09207435418,(t7:0.1123963643,t5:0.3934009133):0.594566728):0.9793666219,t6:0.6132734143):0.1467953469);
(((t1:0.9356723395,(t4:0.7754923643,(t6:0.9575024117,t5:0.1517747811):0.7775530447):0.07189376885):0.3314390322,t2:0.2266101893):0.1659258148,(t7:0.1744156771,t3:0.09271066426):0.5918224235);
(((t1:0.1735699037,t3:0.7834097138):0.5574568559,t7:0.9557304285):0.8436499352,((t6:0.9545637891,t5:0.7832929189):0.1404746321,(t2:0.1208591165,t4:0.01783798914):0.6407927165):0.6957310243);
((t4:0.965969133,((t6:0.03013870539,t5:0.03887040983):0.642631287,t3:0.8582530704):0.9137737032):0.4454366665,((t2:0.8808826143,t1:0.257669694):0.07340567885,t7:0.5714824139):0.4044758747);
(((t2:0.1384547537,t4:0.0287208159):0.3734093232,(t6:0.1211698414,(t7:0.8200303614,t1:0.7784784122):0.3528604016):0.5589703002):0.7716916066,(t5:0.7379299477,t3:0.5720975117):0.078607145);
((t5:0.07702423376,(t7:0.1163041333,(t3:0.601141636,t6:0.2122106075):0.006034645252):0.02991890814):0.431230257,(t1:0.5610740189,(t4:0.6294959509,t2:0.5423305293):0.9669857658):0.9678904167);
(t1:0.9305264109,(t3:0.692580556,((t4:0.4678004568,(t5:0.9636034502,t2:0.1817813851):0.6676928664):0.09432885959,(t7:0.3378957342,t6:0.4042952778):0.005611238303):0.7999832493):0.4836648488);
(((t1:0.3669631316,t2:0.5876056766):0.8979556356,(t5:0.6728017319,(t4:0.9002482083,(t7:0.4650318827,t6:0.8056664341):0.2396991972):0.7450784841):0.6882830989):0.1306939186,t3:0.7820017852);
(((t2:0.4157264219,t1:0.6610304054):0.01122381492,((t7:0.05568881449,t4:0.07637805166):0.3612893361,(t5:0.9272878806,t6:0.1410874752):0.832058345):0.6983745892):0.8374948194,t3:0.6280830991);
(((t3:0.4521957948,t7:0.4967029544):0.4500897657,(((t1:0.3000325777,t5:0.969382626):0.3454159088,t6:0.8711098968):0.5529656843,t4:0.5209276979):0.4912102087):0.3470463709,t2:0.5840753047);
(((t1:0.3325400637,t5:0.5298209107):0.2325720841,t4:0.111594822):0.7894093958,((t2:0.1869760046,t7:0.2055134505):0.7028199248,(t6:0.02031674469,t3:0.3395424199):0.3887502262):0.8446000363);
(((t7:0.7411366531,t6:0.08182448777):0.6172930722,(((t2:0.1684951952,t5:0.9486648792):0.4848808725,t4:0.1879144243):0.6736557898,t3:0.6295135359):0.6739588948):0.7414900027,t1:0.6000909156);
((t6:0.05048916582,t4:0.7537142171):0.3323459786,(((t7:0.09930311516,t5:0.7991019709):0.3441340462,t2:0.6843962886):0.252731171,(t1:0.1641285736,t3:0.3734949897):0.1989443006):0.1217809832);
((t1:0.1489467751,(t2:0.08096413291,(t5:0.1807119853,t3:0.4041957513):0.4294289183):0.2449140907):0.4227162057,((t7:0.977264479,t4:0.2621091595):0.5818015689,t6:0.6730712596):0.401340676);
(((t2:0.6414490284,t3:0.7309685408):0.4430594656,(((t7:0.1742914151,t1:0.3330622297):0.5671944751,t6:0.2171831189):0.7274542029,t5:0.5554924561):0.5489361919):0.5709513994,t4:0.5292365535);
(((t1:0.3916078915,t6:0.8669315118):0.5343790732,t5:0.8439531061):0.628050233,((t2:0.009603537386,t4:0.359870116):0.8479164415,(t3:0.006320194574,t7:0.2253890927):0.4063947932):0.8703067859);
(t2:0.2919974027,(((t3:0.3772382261,t6:0.5127354751):0.8125035085,t5:0.02876339667):0.07372523495,((t7:0.9478738995,t1:0.597421363):0.05284302193,t4:0.01462031482):0.8511625316):0.06734350231);
(((t2:0.4328891502,t5:0.886444866):0.8811926744,t4:0.6867878633):0.1297392247,(((t3:0.9828752526,t6:0.2816101927):0.192147448,t7:0.1236043517):0.7042256542,t1:0.6760560498):0.8459408465);
(t6:0.8929499278,((t7:0.7013781811,(t1:0.5299960135,t4:0.421122507):0.816165043):0.3837317103,((t3:0.2271283006,t2:0.3386456696):0.5325613881,t5:0.673153108):0.007546691922):0.619218379);
(t7:0.9930758148,(((t3:0.9184065629,t5:0.1090308034):0.2627349638,(t4:0.06414558226,t2:0.4758760228):0.6738127286):0.2191879514,(t1:0.01749797817,t6:0.250259937):0.5326798747):0.7796612349);
((t3:0.01586023369,(t7:0.4121456214,t4:0.551033281):0.01368206111):0.1715511153,(t2:0.174668507,((t5:0.8566239665,t1:0.340195653):0.6859091758,t6:0.2575690281):0.2367028641):0.8747947183);
((t6:0.8410568361,((t5:0.6979062438,t1:0.654972018):0.6604013296,((t3:0.9622973059,t4:0.455070562):0.6921802931,t7:0.3259531863):0.337183713):0.8302585699):0.2640953744,t2:0.159863478);
((t2:0.3108884662,(t7:0.390257851,t5:0.7795117765):0.2053008417):0.7006360253,(((t3:0.1618817854,t6:0.4506407173):0.5394354078,t1:0.6778027716):0.0207037949,t4:0.9552194907):0.8368339438);
(t4:0.3393432931,((((t3:0.6871376527,t5:0.1361943088):0.2314452596,(t7:0.4276359587,t6:0.9544419993):0.9777831607):0.6497100138,t2:0.4218403492):0.9018518801,t1:0.2858135491):0.09070757451);
((t6:0.2817559075,(((t4:0.9851806848,t5:0.09748676885):0.0903710546,t2:0.7526800875):0.2835184478,t7:0.4093010572):0.2268635407):0.7662409728,(t3:0.5142271526,t1:0.9902456265):0.1174105697);
(((t5:0.5030233907,t2:0.06307946146):0.07233358105,(t7:0.3339052245,t1:0.1338661658):0.1253046135):0.4802112647,((t6:0.8981739741,t3:0.4163120578):0.5654327776,t4:0.01523509179):0.8681081457);
(t3:0.8786783919,(((t6:0.3071092153,t5:0.8666481369):0.2274145386,(t7:0.7155850555,t2:0.3140895022):0.1739070059):0.489028164,(t1:0.689705393,t4:0.5661846849):0.0931581764):0.287645407);
(((t3:0.4675123736,(t5:0.3737043214,t1:0.4888572569):0.205437131):0.04246108234,(t6:0.09345395351,t7:0.7217945037):0.1495015498):0.3113839137,(t4:0.06943299132,t2:0.1187376701):0.1843853549);
((t1:0.8948157348,((t4:0.4909613943,t7:0.4138404385):0.470877656,t5:0.7421922716):0.5676964524):0.4444251759,(t6:0.6429255835,(t2:0.6224386834,t3:0.9332367592):0.5661259992):0.8438840921);
((t4:0.3139299804,(t1:0.6384066262,t3:0.227093905):0.9145731747):0.6907414414,(t7:0.7029035457,((t5:0.4070440703,t6:0.972383101):0.07995134708,t2:0.03911575279):0.5017108601):0.2868888713);
(t2:0.6246937758,((t3:0.9303780179,t4:0.6309029702):0.2041299543,(t7:0.8106563338,(t6:0.6293763218,(t5:0.7758122473,t1:0.7353777012):0.3089217213):0.4010120477):0.1773378949):0.3148227623);
(t1:0.7565360016,(((t3:0.2605447846,(t7:0.2677473512,t6:0.5222313029):0.7861775337):0.3364454298,t2:0.8362512281):0.1983221103,(t4:0.947172961,t5:0.9446297456):0.5997437835):0.1864360166);
(t4:0.7916119662,(((t1:0.3012669757,t3:0.7793299961):0.3751762365,(t2:0.1712909827,(t6:0.8825731636,t5:0.3585650201):0.8531741137):0.1157945909):0.6250309839,t7:0.9563691472):0.9721362148);
((t2:0.5943357158,(t1:0.7850811004,t3:0.4138128252):0.4744094114):0.4019851296,(t6:0.5903841192,((t4:0.7408419759,t7:0.1644677436):0.7507137009,t5:0.5774805958):0.9342167312):0.5301388833);
(((t5:0.9017310441,t3:0.2063754289):0.7201919404,t4:0.06668169191):0.1107746202,((t2:0.9924941882,t1:0.5195699213):0.9983866243,(t6:0.2540054272,t7:0.2746575237):0.4184634995):0.9341732636);
(((t5:0.8129273241,(t1:0.1098341406,t2:0.7178436129):0.8276580097):0.00449891598,t3:0.01914843498):0.977569191,((t6:0.07224494964,t4:0.7697030616):0.584428546,t7:0.6977288309):0.2506741511);
(((t3:0.4573392456,(t4:0.7599183102,t5:0.5618072713):0.4104280844):0.200094823,(t6:0.07532901433,(t7:0.001399513334,t2:0.1773508042):0.4191322725):0.9441904351):0.07691404619,t1:0.911305177);
((t5:0.3142431041,t6:0.4247703284):0.4999616768,((t4:0.9356898169,t2:0.708913283):0.02006093878,((t3:0.1543907328,t7:0.8421876761):0.6969503046,t1:0.02184691187):0.3439798732):0.9249309697);
((t4:0.4415547336,t2:0.4821921031):0.9501707824,(((t7:0.5667668181,t1:0.6381087403):0.5199169284,(t5:0.9388198114,t3:0.5266057465):0.05968076992):0.7240511,t6:0.4243264422):0.256514522);
(t6:0.2144369408,(((t2:0.9368344052,((t4:0.7392082394,t1:0.3140618554):0.3787427016,t7:0.2238190011):0.7050638308):0.4256383253,t3:0.8716145549):0.3854581809,t5:0.8165435649):0.2280943391);
(((t2:0.2104171212,t5:0.6003749403):0.922126841,((t6:0.6493250914,t3:0.8924348662):0.3451680848,t4:0.9520073219):0.8155611877):0.09442317882,(t7:0.5306699988,t1:0.009754292201):0.201255766);
(((t6:0.1601571238,(t7:0.4188079766,t2:0.1475171961):0.4300613091):0.6282489211,t1:0.2865796364):0.1653471463,((t5:0.3399195729,t3:0.3184499932):0.8275350826,t4:0.6910804694):0.005732619902);
((t5:0.2396762951,(((t6:0.08660005289,t3:0.7656549301):0.4233999287,t1:0.3832615898):0.6575429572,(t4:0.728114475,t7:0.8681604543):0.1043356098):0.3936891973):0.4934637218,t2:0.1784969429);
(t2:0.620216826,(t6:0.9945904911,((t4:0.955005462,t3:0.3749244008):0.8979280789,((t1:0.8561009222,t5:0.2217113196):0.2081171412,t7:0.1679501797):0.6126353682):0.4482018072):0.9967220277);
(((t4:0.4673308467,(t7:0.6582803591,t3:0.9268097922):0.9349886484):0.1042679243,(t1:0.2602040304,t2:0.846809553):0.27736461):0.02673414303,(t5:0.02848897153,t6:0.1260454226):0.2812508876);
((t4:0.9813928439,((t5:0.7000760303,(t6:0.378467032,t7:0.1619185722):0.7457963023):0.7658660989,t2:0.2487753131):0.1617880221):0.1723002,(t3:0.707800936,t1:0.299370687):0.8774010378);
(((t5:0.2643168247,t4:0.4893316517):0.2088153032,((t2:0.2223119249,t6:0.9006397938):0.7189660838,t1:0.04105036706):0.9277901601):0.9134998235,(t3:0.3573978725,t7:0.257318492):0.4522537009);
(((t7:0.806547578,t1:0.2170493084):0.146125963,(t4:0.8735885588,t2:0.55696142):0.5156129305):0.3954561392,((t3:0.7830462616,t5:0.9373500077):0.9610134144,t6:0.3807408244):0.8502345355);
(((t4:0.4801297823,t3:0.2158322935):0.5883966715,((t6:0.6273072823,t5:0.9400106918):0.02429538267,t7:0.1453136059):0.4476518463):0.1877918127,(t2:0.1165596657,t1:0.5671661487):0.3921900613);
((t3:0.3676991065,((t4:0.4027472816,t6:0.1226080076):0.04759530257,t7:0.2604515189):0.33991346):0.3823120496,((t2:0.7552141582,t1:0.1462146081):0.3988981918,t5:0.4514554287):0.5666033491);
((t4:0.9358275419,(t2:0.4139291556,(t6:0.2516311035,t3:0.4137209845):0.312235456):0.7770063472):0.5344050373,((t7:0.7523099249,t5:0.579594292):0.4739956507,t1:0.5022216025):0.1761699116);
((t2:0.00361778331,(t7:0.04956548568,t6:0.5008049461):0.1214830526):0.3062807622,(t3:0.5970617586,((t4:0.9567561434,t1:0.3116329208):0.4972882275,t5:0.4172752281):0.3707199856):0.997760701);
(((t2:0.2849983112,t5:0.6740235595):0.7173940444,(t3:0.117443759,t1:0.8458262007):0.6574591969):0.6972692632,(t6:0.434358221,(t7:0.7500608473,t4:0.5944594459):0.04898915836):0.4770197973);
((t2:0.9995527766,t7:0.8087557449):0.8437883337,(((t3:0.8308837113,(t6:0.8563531577,t1:0.6908825019):0.4919786113):0.006128224544,t4:0.2394009207):0.84796783,t5:0.1672434751):0.9642862482);
((t3:0.3141048267,(((t5:0.1340648332,t7:0.3915313759):0.4185023764,t4:0.5857063208):0.344820596,(t2:0.7038953423,t6:0.8655783182):0.6819745956):0.8220236294):0.5842216546,t1:0.4074193728);
((t3:0.9869853626,t7:0.4405881467):0.5765621553,(((t6:0.7600223888,t1:0.5370692227):0.4258167581,t2:0.8327360004):0.2668198405,(t4:0.6249183491,t5:0.7122016489):0.4172515541):0.08577527385);
(t3:0.190360765,((t1:0.802840309,(t4:0.8534398514,t6:0.705519706):0.5621714918):0.3026270212,(t7:0.07325402531,(t5:0.7677889564,t2:0.9672189974):0.278475676):0.6691499501):0.8626109473);
((((t4:0.0136533042,t5:0.6565296424):0.128746164,(t6:0.1203643114,(t3:0.9231192248,t2:0.1248474943):0.8880071114):0.1652477372):0.9582878777,t7:0.9040122929):0.1303466437,t1:0.1224902002);
(((t4:0.807362196,(t1:0.5461952284,t5:0.6134120473):0.5369301611):0.5205002818,((t3:0.3199968729,t2:0.935673641):0.4416549511,t6:0.1884976421):0.6023640367):0.5940597926,t7:0.9144784766);
((t5:0.2902713201,t3:0.8178806605):0.9674361844,((t4:0.5315287514,t2:0.1460601508):0.8528426683,((t7:0.8159124176,t6:0.3974756859):0.5327279323,t1:0.03873291053):0.2959652399):0.3880090031);
((t4:0.4707749332,((t2:0.0915087394,(t6:0.7781749326,t7:0.348159696):0.7660300818):0.4259022146,t1:0.37486129):0.3547926762):0.3025883515,(t5:0.1000820938,t3:0.3865049824):0.2850038009);
((((t4:0.3487012745,t6:0.1957224284):0.8250322256,t7:0.06077974802):0.9002221569,((t1:0.3300638744,t2:0.4273337843):0.4681592796,t3:0.7762598481):0.8173743649):0.7349301858,t5:0.6658388742);
(t4:0.2150629077,((t5:0.2055639341,t7:0.013507806):0.2647534241,((t6:0.6803719762,(t3:0.8587763868,t2:0.7412490188):0.1135892465):0.02224838897,t1:0.9201013737):0.6057824478):0.1068752485);
((t2:0.830205543,(t3:0.008041786263,(t7:0.5262824951,t5:0.5746395837):0.7296004766):0.7367184069):0.8337153986,((t6:0.7640426003,t1:0.3193413161):0.2146117184,t4:0.66358977):0.3454424737);
(((t3:0.147277802,t5:0.7238688811):0.2614710354,(t6:0.03112322371,t4:0.5897222101):0.9944858875):0.6046039148,(t2:0.7437938377,(t1:0.3555819073,t7:0.002429283224):0.3909199093):0.3682917983);
(((t2:0.009431657381,t7:0.4789877913):0.5750395204,t1:0.6162856657):0.8727088254,((t5:0.6397428515,t3:0.3239765356):0.7419668476,(t4:0.8988156272,t6:0.2057503194):0.6301010677):0.7567651875);
(t4:0.5734371978,(t5:0.7900510482,(((t3:0.570000536,t2:0.8592442805):0.2178995961,(t6:0.3761736024,t1:0.7464903637):0.3681587072):0.5807692036,t7:0.776779393):0.3566014585):0.8618779755);
(((t5:0.3490529787,t4:0.6564959155):0.8138376044,(t7:0.7267732436,t1:0.01755463099):0.9521434607):0.79821506,((t3:0.6350774423,t6:0.5854704739):0.8475833493,t2:0.009723776951):0.3167124179);
(((t2:0.9367296395,t6:0.1803063257):0.376988621,(t1:0.9075146201,t7:0.5142558599):0.6159513474):0.3614609551,((t5:0.9915375866,t4:0.03793699574):0.2608380832,t3:0.9651670824):0.09986124467);
((t7:0.05853978987,(t6:0.7074629208,(t1:0.9000987436,t2:0.1975365912):0.9980943834):0.5752855686):0.7022499754,((t5:0.2570375463,t3:0.2480888327):0.2677497745,t4:0.1835152199):0.8837097599);
((t6:0.6570026535,t3:0.8676032098):0.193218837,((((t4:0.9698556799,t7:0.6351662592):0.2938254662,t1:0.8818965438):0.8068826681,t2:0.1787089449):0.1766826787,t5:0.2834912611):0.5753196971);
(t7:0.2117573537,(((t4:0.417032514,t5:0.7288061671):0.5244745472,(t1:0.7233167472,t3:0.9138644631):0.3298526569):0.4515686894,(t6:0.7601401303,t2:0.4207276907):0.7470108697):0.03754981258);
(t3:0.6773513621,((t1:0.2876502038,(t6:0.881699241,t4:0.7167584787):0.4768321055):0.9235541793,(t7:0.437160773,(t5:0.10655091,t2:0.7580715253):0.7702143861):0.4276207143):0.6660812744);
(((t5:0.3161435425,t6:0.2706199721):0.6971333791,((t3:0.4299951794,(t2:0.06360210408,t4:0.8073040056):0.1405198576):0.2258480412,t1:0.9069051107):0.9530635495):0.1734864297,t7:0.4255571123);
((t7:0.5642758601,t3:0.2502333978):0.3203053277,((t6:0.7820922069,(t4:0.4081174391,(t1:0.08502402087,t2:0.08668630267):0.7354533777):0.6318064956):0.2541768951,t5:0.1482564444):0.1141355191);
(((t4:0.1317709784,((t2:0.3326416197,t5:0.9538140972):0.2799676456,t7:0.4718403495):0.4361518985):0.4007766233,t3:0.2377468834):0.1709769447,(t1:0.7322843436,t6:0.4462895349):0.3456797274);
((t5:0.05353964563,((t2:0.6471057558,t4:0.5831178385):0.8146911319,t6:0.1673423394):0.6400118629):0.771246651,((t7:0.7923157457,t1:0.1536258198):0.06909378036,t3:0.6906549339):0.9015159367);
(((t4:0.7534853411,t6:0.4691157206):0.5843977164,t1:0.4145624619):0.2820100852,((t2:0.3011534291,t7:0.8961661309):0.7413780543,(t5:0.8022572454,t3:0.3831328594):0.770448487):0.8310771184);
(t3:0.8739043032,((((t7:0.2112552302,t4:0.9891847053):0.5353416065,t6:0.5179429995):0.9818460816,t2:0.1794913183):0.03785767336,(t5:0.6018367771,t1:0.6481329252):0.06328256219):0.7551108508);
((t5:0.5184153665,(t2:0.9121979931,(t7:0.6424203503,t6:0.9949065673):0.1455643249):0.6789027832):0.0326779224,((t3:0.9957702262,t1:0.2358004919):0.8553727684,t4:0.9546382749):0.1187445219);
(((t2:0.1434918996,(t6:0.4994057801,t7:0.07046088576):0.9266460743):0.6949933055,(t1:0.4677590337,t3:0.9908077547):0.7904183634):0.4435544696,(t4:0.3643241462,t5:0.04864318436):0.8407731671);
(t2:0.9927934792,((t6:0.100141254,t3:0.5958314862):0.105854034,(t1:0.2632589601,((t4:0.9940382652,t5:0.1257427761):0.384663854,t7:0.6072586705):0.4855168327):0.427234811):0.3346349078);
(t4:0.230807354,(t1:0.121978472,((t7:0.2639624057,t5:0.03109451011):0.3587597271,((t3:0.6393036153,t2:0.8642366752):0.9515892249,t6:0.3444604508):0.04769388167):0.6302515867):0.7193644326);
((t7:0.4976986914,(t4:0.46932031,t1:0.4214224275):0.4326798632):0.86284311,(t5:0.8237659156,(t2:0.6754158065,(t3:0.636038905,t6:0.3961206698):0.07819272275):0.6027596954):0.1192324001);
(((t2:0.1560236756,t6:0.4743777958):0.04426498571,(t7:0.4485627958,t5:0.5277983933):0.3595312585):0.7935571792,((t1:0.3366452609,t3:0.7712923838):0.3652317738,t4:0.04939807882):0.05431144009);
((t7:0.05094136717,t2:0.3263676551):0.01234410517,((t3:0.5680533659,t1:0.5233844214):0.8458701179,((t5:0.3730945969,t6:0.2129295031):0.01103541325,t4:0.4086380627):0.3574607822):0.7848846114);
((((t7:0.4952989134,(t2:0.3825506265,t1:0.1630600109):0.4210951237):0.0767002278,(t6:0.1663885443,t5:0.2148862847):0.285057148):0.901287677,t3:0.2733170597):0.7326750439,t4:0.2847881101);
(((t2:0.8170489308,t5:0.2005628201):0.7047887703,((t7:0.6192071373,t3:0.1449868861):0.6626970812,t4:0.1220280265):0.427968231):0.9522405977,(t1:0.9113806041,t6:0.4189222993):0.144071667);
((t2:0.1749498788,(t3:0.1256102917,t6:0.7699873154):0.6478691667):0.4849275362,(((t5:0.4636679529,t1:0.2312804409):0.4887247309,t4:0.4564943516):0.2501367757,t7:0.2062906751):0.06729355687);
(((t3:0.1739691526,t5:0.919542019):0.009291016497,((t6:0.6498252044,t7:0.5976024203):0.5480819494,t4:0.5369651031):0.7362408591):0.4997268578,(t1:0.8677534913,t2:0.2878216372):0.7184561039);
(((t2:0.3282725816,t1:0.6721596508):0.7543828518,(t3:0.1013224274,t4:0.2826971964):0.9872318837):0.8284098429,(t6:0.3454908193,(t7:0.1138911862,t5:0.2774372594):0.7858380144):0.9899926975);
((t7:0.9998468433,t1:0.09860382183):0.7510997313,(((t3:0.4546893109,t5:0.06543695182):0.7402604646,t2:0.4021351882):0.5399198995,(t4:0.03805663157,t6:0.4077984688):0.1025071694):0.6072813235);
((t5:0.7653176531,(t1:0.3072769605,t6:0.4867074501):0.7730888431):0.8105036023,(t7:0.8242982265,(t2:0.1691906501,(t3:0.6233137976,t4:0.04837022698):0.4281440931):0.07343185344):0.9484687902);
(((t4:0.808389632,t1:0.5812408617):0.9965434405,((t3:0.08725864999,(t7:0.101706964,t2:0.2508098278):0.3564040894):0.134755969,t6:0.2102196605):0.6386911976):0.2941419105,t5:0.8802494335);
((((t2:0.9381275652,t5:0.3440760348):0.1849550076,t1:0.9559245133):0.2423564356,(t3:0.2869402848,t7:0.8944722908):0.6522317939):0.8348324818,(t4:0.6032167985,t6:0.8629097207):0.883862264);
((t5:0.8625831925,t4:0.007821445586):0.4074645743,(((t2:0.3143917413,t7:0.7994448736):0.6432739908,(t3:0.08921109932,t6:0.6842660457):0.2971514633):0.638895727,t1:0.05949256918):0.5744298394);
(((t5:0.5517915026,(t7:0.3937185851,t1:0.5858796504):0.7370780611):0.2213706838,t2:0.2124589053):0.4416019742,(t6:0.09032741212,(t4:0.1179866362,t3:0.288850202):0.8370587919):0.962863782);
((t5:0.4057861983,t3:0.8930894798):0.4904250288,(t2:0.2462038696,((t1:0.09263652749,t7:0.5284395164):0.6793710778,(t6:0.8280690927,t4:0.9936613068):0.8169385558):0.3036787282):0.3520319117);
((((t3:0.8491651437,t1:0.5598961762):0.7593125461,t2:0.1896990028):0.9028336245,t4:0.5218373893):0.3522651533,((t6:0.8882852823,t5:0.7948594529):0.4836756361,t7:0.6245995651):0.6893326228);
(((t5:0.7386105289,t4:0.8150544919):0.3495844025,((t3:0.410502784,(t1:0.7217838035,t6:0.7910493689):0.5623530152):0.9609483136,t2:0.8103677477):0.4946111648):0.1153440445,t7:0.05375866056);
((t1:0.7548469477,((t6:0.6730803237,t7:0.2724959764):0.1467429651,t5:0.7913374454):0.9555232944):0.9437296218,(t4:0.9211064558,(t3:0.1291210421,t2:0.6181053969):0.01798912301):0.04263483873);
((t3:0.8501661241,((t1:0.8892454002,t2:0.6311451104):0.7878572892,((t6:0.5552959475,t4:0.1714348434):0.1343769957,t7:0.9384414856):0.3120070719):0.743230924):0.2296810143,t5:0.8942111817);
((t6:0.3147027362,(t5:0.5249930734,t3:0.7696409177):0.5598993294):0.576768283,(((t4:0.1691884587,t7:0.9415672072):0.7987988903,t1:0.3808985029):0.844279048,t2:0.428576292):0.7041296691);
(t7:0.2605887845,(t5:0.9794105776,((t4:0.2489955679,((t2:0.2867090129,t1:0.8187831319):0.1330309638,t3:0.7851977942):0.7864803923):0.4698683978,t6:0.9843137248):0.625225927):0.06622647378);
(((t3:0.8135304577,(t1:0.621347826,t4:0.3077291092):0.6228076061):0.5605656977,t7:0.06915128953):0.8869597672,((t5:0.1607897503,t2:0.04545599921):0.4269590122,t6:0.05118951201):0.796720339);
