((t6:0.8225739298,t1:0.4087018084):0.6235530858,(((t3:0.8743317241,t5:0.5898637846):0.4452828444,t2:0.3409535014):0.7751271643,t4:0.3703632264):0.760751049);
(t3:0.6557968794,((t5:0.6434815673,t4:0.2415673346):0.9344385834,(t6:0.8075705988,(t2:0.06826613634,t1:0.6430352402):0.2057152572):0.9245605469):0.6706147669);
(((t6:0.1977179295,(t3:0.7488767551,t1:0.0320395173):0.2868494249):0.9686577097,t4:0.9935607396):0.9668014145,(t5:0.1086360209,t2:0.6972343503):0.6393075387);
((((t2:0.9885303539,t3:0.6110172491):0.248334452,(t5:0.563715304,t6:0.845069072):0.3930544909):0.5727657531,t1:0.3133325984):0.6490068298,t4:0.2753105331);
(((t6:0.3303767685,t3:0.6312330817):0.08104483061,(t1:0.380705199,t5:0.8838636095):0.9508656848):0.6078223221,(t4:0.6429096027,t2:0.5920079234):0.376712237);
((t1:0.9781200788,t4:0.6890342247):0.3938888432,((t5:0.2430471294,t3:0.6676838631):0.8365939299,(t2:0.7623411529,t6:0.757249166):0.4466854939):0.9067552923);
((t2:0.004815869033,((t1:0.8955341673,t5:0.9796435998):0.6741646866,(t3:0.9353996026,t4:0.2909962151):0.3343270891):0.09043819923):0.5699441985,t6:0.7024978453);
((((t3:0.003748183604,t5:0.06175866676):0.8366846594,t2:0.7566864716):0.9794086574,(t1:0.8847330168,t6:0.5596749841):0.2688780956):0.9524014124,t4:0.01580459019);
(t1:0.878792231,((t4:0.5593702372,(t5:0.8918385217,t2:0.04725429136):0.5019797203):0.6074035172,(t3:0.1898801059,t6:0.7418205352):0.2512300983):0.4403652684);
(((t3:0.1315803942,(t4:0.7464564624,t2:0.01748553291):0.8314526151):0.5587157605,(t5:0.2629996939,t1:0.7437017271):0.7443847188):0.7581495719,t6:0.6839000206);
(t5:0.5751394238,((t1:0.6312525268,(t4:0.7831375017,t2:0.5376338996):0.09861218091):0.5319440141,(t3:0.9248368095,t6:0.1619268267):0.7638492072):0.5868580167);
((t3:0.1418483795,t1:0.8185937291):0.1204288302,(t4:0.9422211675,(t5:0.1992782243,(t2:0.5028766787,t6:0.5516425865):0.2522817715):0.6301539135):0.4149595171);
(t2:0.9511292032,((((t5:0.3124075532,t4:0.9820318208):0.4068726876,t3:0.729309273):0.3127969599,t6:0.7924490767):0.0317206576,t1:0.5484030417):0.2128410451);
((t3:0.7351205298,(t6:0.900020127,t5:0.8189369692):0.895078677):0.09303359222,(t4:0.2876163803,(t1:0.4267735798,t2:0.8969648534):0.1239950683):0.8498421691);
((t3:0.6660909152,(t6:0.1860569762,t5:0.1707797011):0.7541655197):0.8232459775,(t4:0.87595837,(t1:0.5885828016,t2:0.1215247635):0.508637792):0.03204986872);
(((t5:0.1102328158,t4:0.5378521744):0.6301873468,t6:0.5919647191):0.9037289107,((t3:0.2287008388,t1:0.2131555842):0.02060098131,t2:0.3593628348):0.6077401866);
(((t1:0.09258736181,t2:0.6216400291):0.6959209021,t5:0.7480872169):0.2717969234,((t6:0.4197234877,t4:0.7646833446):0.1519923876,t3:0.0768940968):0.02339762053);
((((t6:0.664791038,t4:0.9502596825):0.7151829205,t3:0.8387671907):0.460785504,t2:0.6143597199):0.1273279816,(t5:0.7904671479,t1:0.7932187011):0.5839818604);
((t4:0.09068762092,t2:0.377051983):0.7654274155,((t3:0.2151362428,(t5:0.1654315505,t1:0.1645765062):0.915528344):0.4805414672,t6:0.5599765372):0.2001342725);
((t2:0.04165123776,((t3:0.8274925486,t6:0.3723342367):0.3660835132,t4:0.423161607):0.2177716203):0.8064634013,(t5:0.5618726935,t1:0.4832085615):0.5925887239);
((((t2:0.7226498968,t3:0.5723019501):0.09308711067,(t6:0.4163802026,t1:0.5430251467):0.3228748722):0.676906961,t5:0.5057188596):0.6325093755,t4:0.9992796725);
(((t5:0.6718168149,t1:0.5066444774):0.8950639456,t2:0.9781589461):0.8876158292,((t6:0.6384770628,t4:0.8563385757):0.9480328953,t3:0.5284218162):0.7038184947);
(t3:0.5269347613,((t6:0.09737267275,t4:0.6659472336):0.6199960061,((t5:0.1794257779,t2:0.1794290065):0.8539060925,t1:0.7736217494):0.8958284513):0.4164673793);
((t4:0.3684051349,(t1:0.7739519808,t3:0.4736047427):0.4300607671):0.8917316739,((t5:0.6164698631,t6:0.2273431914):0.7834106642,t2:0.20902206):0.5044099586);
(((t1:0.4149425055,t4:0.2911841657):0.8344643537,((t6:0.5824605958,t3:0.7835308772):0.4990860585,t2:0.4450615896):0.8019963559):0.4672222696,t5:0.6720159093);
(t3:0.6117455766,(((t5:0.1149939932,(t2:0.2116930075,t1:0.1152972949):0.584321789):0.2980760294,t6:0.9087637078):0.07884080219,t4:0.8525318117):0.84892654);
((t5:0.314292571,t1:0.5940763569):0.6623720862,((t4:0.3435760818,(t3:0.62100196,t6:0.09533147793):0.7268437939):0.8540985899,t2:0.812874811):0.8268962421);
(t4:0.4543780903,((t6:0.3179039841,t5:0.2594646141):0.04252753267,((t1:0.7614693891,t3:0.4909110758):0.9019343113,t2:0.2376557374):0.7389755961):0.6585908888);
(((t6:0.6128605264,t4:0.8783111088):0.9204043921,(t3:0.2130548311,t2:0.2366866297):0.7967629943):0.88558599,(t5:0.1176625479,t1:0.2037220879):0.01741338545);
((t5:0.6393218338,t6:0.2736749428):0.5570336231,(((t4:0.4254129324,t1:0.3849067206):0.4427995363,t2:0.9420901602):0.6263925475,t3:0.6200347885):0.5312939435);
((t4:0.6356773379,(t6:0.02040518634,(t3:0.141684443,t2:0.9214127844):0.149412547):0.7976412349):0.6931377004,(t5:0.7816120135,t1:0.7864630846):0.02959435922);
(t1:0.9806965776,((t4:0.331436469,t5:0.4397829862):0.6906247265,((t6:0.7354829768,t2:0.7618748655):0.2538666094,t3:0.3936041896):0.2308771464):0.3042645056);
(t2:0.4311798902,((t5:0.9927056762,(t3:0.5024518841,t1:0.3669859474):0.7711307888):0.603124565,(t4:0.7342886543,t6:0.7084794817):0.6412803775):0.7492270255);
(((t1:0.7696040762,t2:0.4056457749):0.4799849887,(t6:0.8804893645,t5:0.7061154877):0.5069459479):0.303723905,(t4:0.5978161232,t3:0.372387544):0.9539133173);
((((t5:0.4692680652,t2:0.6121559495):0.002360028448,t3:0.09639110602):0.4817841696,(t6:0.3126517022,t1:0.198901139):0.8657671078):0.8257663981,t4:0.8277377405);
(t3:0.9153652508,(((t1:0.6818869507,t5:0.8918799537):0.03280391614,t2:0.04341067467):0.02701587486,(t6:0.3193530673,t4:0.0888605183):0.7449996467):0.3845914463);
(((t4:0.3914017905,t1:0.658418369):0.2112633043,((t6:0.07911282522,t5:0.08357720496):0.3971249419,t3:0.7641088944):0.5209346954):0.8347010203,t2:0.2829646161);
(((t1:0.7639545419,t6:0.8953657441):0.6388943922,((t3:0.1208264006,t5:0.5895221231):0.737750218,t2:0.7265934343):0.5414185424):0.4604580784,t4:0.5402221358);
((t1:0.8238892595,(t3:0.8494551361,t6:0.4472208815):0.8220968519):0.8245779295,(t4:0.1677082554,(t2:0.3778352221,t5:0.8753865492):0.3649097946):0.533041859);
((t4:0.9207168715,t5:0.5337424278):0.08470802684,((t2:0.7336875924,(t6:0.4046781724,t3:0.7392048915):0.3917727154):0.03249369003,t1:0.9253591488):0.5712248897);
((t3:0.2959854815,(t6:0.4064621304,t2:0.5049801378):0.4920034856):0.3549972107,((t1:0.13159706,t4:0.3138719483):0.3984718248,t5:0.5807825082):0.8836377116);
(((t5:0.9059144352,t6:0.4673175949):0.1064822788,t1:0.5930021931):0.7075320045,(t3:0.8352800624,(t4:0.4684349594,t2:0.5927410603):0.1571088785):0.56966238);
((((t6:0.6239524439,t2:0.1956325988):0.6657594959,(t1:0.8382410465,t4:0.7230553073):0.188459805):0.392024202,t5:0.309203889):0.1162025379,t3:0.1138095809);
((t6:0.1520087912,(t2:0.02648495859,t3:0.1076520395):0.4277612178):0.2903723156,(t1:0.05523778405,(t4:0.1830295862,t5:0.9765048944):0.8461607068):0.3915749646);
((t3:0.6331581662,t1:0.01083546574):0.2008756578,(t4:0.3787897306,((t5:0.2770691412,t2:0.8611908464):0.9257008254,t6:0.5141261711):0.1241312677):0.1122825334);
((t5:0.96895967,((t1:0.4746762356,t2:0.8219381489):0.6161567504,t4:0.9515711549):0.3257088121):0.7187379331,(t6:0.637418254,t3:0.9007748913):0.9304431474);
((t2:0.1890173426,(t3:0.7351825428,t4:0.3607899507):0.5462924181):0.4090205228,(t5:0.4740336705,(t1:0.9449953169,t6:0.8681561411):0.6470949221):0.5243837119);
((t1:0.4772474081,(t3:0.3569099589,t2:0.9868797117):0.09996738122):0.1801545864,((t5:0.3613662736,t6:0.3261635376):0.3956354845,t4:0.9578221983):0.4454525379);
((t6:0.7346281188,(t4:0.6112653925,t3:0.7962757675):0.08399377647):0.498934956,(t1:0.4941602903,(t2:0.8349062388,t5:0.462315372):0.1737176159):0.5135522806);
(t1:0.7409315433,(t6:0.7808707859,(t5:0.375365824,((t4:0.1396947983,t3:0.8721846242):0.9503259214,t2:0.7875215618):0.2916332458):0.4287722346):0.6051708616);
(((t1:0.2883867924,t2:0.1271424647):0.8647018955,(t3:0.3801444715,(t4:0.1396197439,t6:0.9706777418):0.9142191675):0.7233449724):0.350046135,t5:0.3984784526);
((t2:0.3647226831,t4:0.6813913023):0.2746339375,(t6:0.3572949318,(t1:0.4200329373,(t5:0.5451636745,t3:0.4780622299):0.1473185173):0.8249737166):0.983627995);
((t1:0.5233534628,(t5:0.8846424159,t2:0.07634797413):0.1117798823):0.7025727287,((t4:0.05961331772,t3:0.6409598999):0.07382277609,t6:0.8793661757):0.8082377075);
((t6:0.4783885269,t3:0.01437375997):0.5287233077,(((t5:0.2361802601,t2:0.314235223):0.9960539285,t1:0.8318858449):0.4735005267,t4:0.4648984259):0.699619815);
(((t1:0.6848613629,(t5:0.02507168823,t2:0.7178799503):0.3812560646):0.4366409488,(t6:0.9702911724,t3:0.9753329253):0.5275593111):0.1080591001,t4:0.5550645988);
(((t5:0.4194830456,t1:0.03186230641):0.3625781836,(t3:0.9873721546,t6:0.8690198571):0.9810364237):0.4327346038,(t2:0.1945515422,t4:0.8625290119):0.6629845058);
((((t6:0.05142353335,t3:0.2718315846):0.240431136,t2:0.3220111565):0.6116402913,t4:0.1435457952):0.02122950833,(t5:0.7888970955,t1:0.6258828656):0.6105190346);
(((t1:0.7861057469,t2:0.400417527):0.4867468942,(t4:0.7187814245,t5:0.6115854846):0.7793067121):0.3706487287,(t3:0.7002484729,t6:0.2302948367):0.6443889793);
(t4:0.8606243497,(t1:0.3928198428,((t3:0.6754037049,(t6:0.2947056892,t5:0.2214454641):0.7024390846):0.02810388058,t2:0.2423630764):0.07773091388):0.5855148504);
(t6:0.2138358566,((t4:0.5257396542,(t1:0.6031915653,t3:0.6626536949):0.997002579):0.7061195392,(t5:0.1468677684,t2:0.1526600278):0.525847899):0.6094995691);
(t4:0.7157975552,(t2:0.566554466,((t6:0.6717425329,t1:0.2009430297):0.2903889855,(t3:0.03450374911,t5:0.247604684):0.5526427901):0.07202765951):0.6846195629);
(t6:0.06700783293,((t1:0.8690769977,t2:0.8856179707):0.1125326445,((t4:0.6849824388,t3:0.659119616):0.3252406237,t5:0.1837073704):0.01237330842):0.07319505792);
((t5:0.9020366718,((t3:0.7033380626,t1:0.2877262374):0.624820085,t4:0.9136995571):0.8279772315):0.6452265424,(t6:0.467683875,t2:0.3903727846):0.1467903494);
(((t4:0.2788279364,(t2:0.8953911299,t1:0.9811270819):0.185313486):0.7867616392,t5:0.7152375937):0.4943786224,(t3:0.1778143402,t6:0.2414726):0.6653079072);
((t6:0.2837883206,t3:0.9875584757):0.5700889351,((t2:0.9372954967,t4:0.9271418774):0.8217836635,(t1:0.1207330604,t5:0.2341018145):0.04876639484):0.2147764491);
((t6:0.09250621963,(t3:0.7370595401,t2:0.8505184872):0.2433030554):0.008233922767,((t4:0.3993701567,t1:0.79733536):0.3847316392,t5:0.1374850087):0.7060576717);
((t5:0.2176241705,(t1:0.823601319,t6:0.01575065241):0.5890267966):0.6486034787,(t3:0.5730618022,(t2:0.8514525874,t4:0.5734476971):0.1953152737):0.6599096034);
(((t6:0.566199237,t4:0.8837030304):0.753681279,((t2:0.4263976282,t3:0.9857813178):0.9982828349,t5:0.8003666615):0.9191978541):0.2669499279,t1:0.3370153618);
((t5:0.4211300816,(t6:0.02326101344,t3:0.04234247236):0.06883941893):0.2098142984,((t2:0.530312968,t1:0.3869729778):0.8521244188,t4:0.6483918412):0.8027452107);
(((t1:0.0186098991,t5:0.4243704341):0.3976291569,((t2:0.06196176307,t3:0.5420881452):0.3817765438,t6:0.8474972916):0.9780140473):0.2415738166,t4:0.369363134);
(t5:0.6912101742,((t1:0.4609719957,(t4:0.8113788352,t2:0.4527968739):0.9743716929):0.9230015185,(t6:0.3323770112,t3:0.6319509365):0.1912390406):0.5818294536);
(((t1:0.2594940404,t3:0.4961847411):0.7904802775,t2:0.9263394801):0.8815460126,(t4:0.3492392476,(t5:0.1623457852,t6:0.7423845022):0.7997977289):0.8713298405);
(t2:0.3747136255,(((t6:0.7509970397,t5:0.1711357913):0.205564593,t1:0.6487013961):0.4656172413,(t3:0.4792561927,t4:0.1895797898):0.6299749846):0.2908735187);
(((t5:0.5262420201,t4:0.5733796102):0.1460973043,(t2:0.1130400572,t1:0.9685446403):0.1874220266):0.08229078399,(t3:0.1431673525,t6:0.2800088362):0.7916711024);
((t5:0.08284389297,(t6:0.3570589779,((t4:0.8409206527,t3:0.2883518105):0.744070471,t1:0.919822739):0.7544793112):0.1943216985):0.8184368219,t2:0.961693615);
(((t2:0.5634658369,t4:0.1247722381):0.5490796065,(t5:0.1822192892,t6:0.7128244631):0.2270684319):0.6716951036,(t1:0.8737284644,t3:0.7624289731):0.9222981948);
(t1:0.5825171962,(((t5:0.8841420747,t2:0.04582884745):0.2863705405,t6:0.9890904538):0.1049542679,(t3:0.5853272269,t4:0.9655221961):0.879749594):0.8817656219);
(t5:0.6160072698,((t2:0.7450769793,(t1:0.4274666936,t6:0.6717394181):0.4484926634):0.4353070806,(t3:0.8200537425,t4:0.2261864666):0.8624047204):0.5332273489);
(((t5:0.4439842671,t4:0.4552971437):0.8635315362,t6:0.9933625227):0.4127575534,(t1:0.03728470881,(t2:0.8886395735,t3:0.1322634015):0.08902025688):0.3234270324);
((t3:0.6174559004,(t6:0.7769329867,t5:0.6919394957):0.6381472182):0.332301619,((t2:0.4272990276,t1:0.9696584111):0.3679648268,t4:0.1010827583):0.1037373152);
(((t2:0.4941625809,t5:0.1956468506):0.4057732981,(t6:0.07746969606,t1:0.9752092268):0.1965839462):0.199539395,(t4:0.2982109506,t3:0.2159396706):0.8757837736);
(((t2:0.4783139161,(t5:0.3127568341,t6:0.3683883732):0.9814754168):0.8351821881,t3:0.1702034597):0.01791588799,(t1:0.3608726058,t4:0.5879379122):0.1778414056);
((t3:0.3524911336,(t6:0.9321991152,t5:0.4367822281):0.1507764237):0.003850356443,((t1:0.1770239503,t2:0.8741086421):0.6513876857,t4:0.9007818764):0.6577639841);
((((t2:0.3606572454,t3:0.2867839818):0.04065639758,t6:0.9517098486):0.03330892581,(t1:0.9988167763,t4:0.5072225062):0.1861004613):0.4007154927,t5:0.4873925215);
(((t5:0.9591384537,t6:0.5971145169):0.5924082964,(t3:0.888334621,t4:0.1188973449):0.6090629634):0.4717554927,(t1:0.2500991693,t2:0.2886970441):0.9868541434);
((t2:0.9207628479,t1:0.7012637288):0.5197237998,((t6:0.2183842128,(t4:0.6719911299,t3:0.4820624306):0.1968047491):0.5931570313,t5:0.4146268317):0.2081603226);
(((t2:0.07132851798,t4:0.1017947958):0.6432531727,t1:0.7985368301):0.7441398043,((t6:0.5987484206,t3:0.3792171737):0.8066980289,t5:0.5873594508):0.6770875151);
(((t2:0.8078950671,t6:0.6860005453):0.378829211,(t1:0.6827310065,t4:0.4919849206):0.4871679575):0.8529159718,(t5:0.6433416244,t3:0.3965752944):0.9273702716);
(((t6:0.3384033148,t4:0.01721644867):0.4391707992,(t1:0.4458718281,t5:0.5655866752):0.6029263001):0.9966731283,(t3:0.5316394554,t2:0.4491059084):0.2503826877);
((t6:0.898331946,t3:0.8989756305):0.07224972546,(t1:0.7710235373,(t2:0.9805568245,(t5:0.3662808593,t4:0.1963098755):0.6032692913):0.54599875):0.9585948018);
(((t4:0.285173296,t5:0.6090195307):0.7216299076,(t3:0.1232978276,t6:0.9595864592):0.5118690622):0.940111781,(t1:0.3115327971,t2:0.8244375021):0.7453269968);
((t3:0.396621966,t1:0.2923397569):0.5163343321,(t4:0.4033115047,(t5:0.6074597575,(t6:0.2105025279,t2:0.79617395):0.9386706774):0.7028850929):0.1685635196);
((t2:0.3154554833,t5:0.4339390812):0.2612677282,(t1:0.2093491664,((t6:0.9606530429,t3:0.1421680388):0.08775795344,t4:0.3823201591):0.4667204448):0.7824210906);
((t5:0.2856250503,t1:0.9426509829):0.9566747241,(((t6:0.3779217387,t4:0.008030141704):0.6601431039,t3:0.08156876871):0.09894306096,t2:0.5847049102):0.8207059458);
(((t3:0.2028762945,t1:0.5293871928):0.3638890539,((t4:0.4070461101,t2:0.4111224324):0.5473542453,t6:0.8898003779):0.8033297949):0.9452609743,t5:0.8993814215);
((t1:0.3737989648,t2:0.6381900618):0.3868100503,(((t3:0.2166415895,t6:0.438143481):0.8236950554,t5:0.3544895998):0.5357729474,t4:0.6316622926):0.4657844543);
(((t3:0.4810055466,t5:0.7590116365):0.01807603519,(t1:0.925510932,(t6:0.6745233063,t4:0.847479552):0.6117464413):0.6876203245):0.915424366,t2:0.9612369318);
(((t1:0.07206888334,t2:0.4214827672):0.7099256795,(t5:0.731989207,t3:0.1653530791):0.3545620786):0.2224700851,(t4:0.2306459739,t6:0.54663615):0.1663536129);
((((t1:0.8482647541,t2:0.3230639521):0.1610825292,t3:0.9334398312):0.887456713,(t6:0.8303646324,t5:0.7215602761):0.9106767843):0.9000650446,t4:0.9073715527);
(((t6:0.8042806247,t2:0.2778009279):0.3551249583,t5:0.1810428374):0.5593119045,(t4:0.4770443812,(t3:0.3860152769,t1:0.4997343838):0.02583538229):0.5926869912);
((t5:0.9129942472,((t4:0.9466818797,(t6:0.7797372262,t3:0.0434080956):0.3795528547):0.651355831,t2:0.341023314):0.4951842923):0.03046918847,t1:0.773562053);
((t6:0.991694387,t3:0.251909428):0.01821792638,((t2:0.6164836504,t1:0.7174875652):0.6913785166,(t5:0.1871298407,t4:0.4257854864):0.4707433416):0.03365451889);
((t5:0.1182636146,t2:0.671858812):0.9328100958,(((t3:0.1653269597,t6:0.627496789):0.8880443438,t1:0.7742905486):0.4947176373,t4:0.4386112613):0.437165454);
(((t3:0.3724736935,t4:0.4193732631):0.725627895,(t1:0.3112088714,t6:0.1603002597):0.09128675959):0.9103742049,(t5:0.04195492202,t2:0.8802929402):0.4249869036);
((t6:0.8100669915,t2:0.177118778):0.6140228345,((t4:0.8732846263,t1:0.5542561167):0.7318396403,(t5:0.3743113072,t3:0.4137563668):0.8363390944):0.7320172025);
(t3:0.8620464506,((((t1:0.7033007382,t5:0.5271806461):0.5440631344,t4:0.5573949197):0.6124639856,t6:0.6543623081):0.07186348876,t2:0.7992315693):0.5453384975);
(((t4:0.875239966,t5:0.3482425127):0.768446624,t6:0.8636327565):0.05553883407,((t1:0.03902798472,t3:0.7045792281):0.03082688153,t2:0.66329633):0.1043755338);
((t3:0.3522065098,t6:0.9031951989):0.7647883962,(((t1:0.9016772895,t4:0.9085925305):0.2472549342,t2:0.6494151079):0.3025590407,t5:0.8173422497):0.2290058755);
(((t6:0.8491152532,t1:0.1078407054):0.02799694869,t3:0.07052132348):0.451012481,((t5:0.6041861007,t4:0.8589964665):0.67096396,t2:0.1062260568):0.4007913659);
((t2:0.687318611,t6:0.7562783815):0.1176183303,((t1:0.475877434,t3:0.1874191468):0.7964930923,(t4:0.2019248747,t5:0.7037812509):0.3448395457):0.3263812689);
(((t6:0.3701118573,t1:0.2779207141):0.4782790185,t2:0.09421598772):0.9971639386,((t5:0.05387074105,t4:0.4788806257):0.9804787957,t3:0.05786345457):0.1848670172);
(((t3:0.4211752124,t5:0.6740159399):0.8458277045,t6:0.938247398):0.3914110826,((t4:0.8823523999,t2:0.3535056999):0.7419391861,t1:0.5629795552):0.3868718874);
(t2:0.5946898183,((t6:0.2795941229,t5:0.5417486816):0.247454324,(t3:0.3184541392,(t4:0.7956485464,t1:0.236692138):0.756885756):0.7031038802):0.02488813852);
((t5:0.02673478401,t1:0.04773864313):0.1766082179,(((t2:0.8526852159,t3:0.6864213608):0.1701928719,t6:0.2780056149):0.03690658673,t4:0.7207095928):0.9567409235);
((t6:0.9395959091,t4:0.9436056996):0.4700932584,((t3:0.07782076602,(t2:0.939596242,t1:0.5589874785):0.345483297):0.5740819876,t5:0.6596528336):0.4124661358);
